date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:59:03	245632/245632	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f528-3bf80%22	https://htmldemo.net/monsta/monsta/index-2.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/index-2.html	(from )
18:59:04	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jul%202024%2022:59:04%20GMT	https://htmldemo.net/robots.txt		(from )
18:59:04	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2261e7f554-47e%22	https://htmldemo.net/monsta/monsta/assets/img/favicon.ico	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/assets/img/favicon.ico	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:05	251975/251975	---MCZ	200	added ('OK')	text/css	etag:W/%2261e7f54d-3d847%22	https://htmldemo.net/monsta/monsta/assets/css/style.css	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/assets/css/style.css	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:05	480270/480270	---MCZ	200	added ('OK')	text/css	etag:W/%2261e7f54e-7540e%22	https://htmldemo.net/monsta/monsta/assets/css/plugins.css	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/assets/css/plugins.css	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:05	8600/8600	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261e7f59d-2198%22	https://htmldemo.net/monsta/monsta/assets/js/vendor/modernizr-3.7.1.min.js	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/assets/js/vendor/modernizr-3.7.1.min.js	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:05	222660/222660	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f526-365c4%22	https://htmldemo.net/monsta/monsta/index-3.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/index-3.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:05	250003/250003	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f529-3d093%22	https://htmldemo.net/monsta/monsta/index.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/index.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:05	245720/245720	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f527-3bfd8%22	https://htmldemo.net/monsta/monsta/index-4.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/index-4.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:06	263731/263731	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f527-40633%22	https://htmldemo.net/monsta/monsta/index-5.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/index-5.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:06	260305/260305	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f527-3f8d1%22	https://htmldemo.net/monsta/monsta/index-6.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/index-6.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:06	224752/224752	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f527-36df0%22	https://htmldemo.net/monsta/monsta/index-7.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/index-7.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:06	259341/259341	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f528-3f50d%22	https://htmldemo.net/monsta/monsta/index-8.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/index-8.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:06	259316/259316	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f52d-3f4f4%22	https://htmldemo.net/monsta/monsta/index-9.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/index-9.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:07	274680/274680	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f526-430f8%22	https://htmldemo.net/monsta/monsta/index-10.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/index-10.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:07	148795/148795	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f52d-2453b%22	https://htmldemo.net/monsta/monsta/shop.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/shop.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:07	131854/131854	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f52c-2030e%22	https://htmldemo.net/monsta/monsta/shop-fullwidth.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/shop-fullwidth.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:07	131864/131864	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f52b-20318%22	https://htmldemo.net/monsta/monsta/shop-fullwidth-list.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/shop-fullwidth-list.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:08	142645/142645	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f52c-22d35%22	https://htmldemo.net/monsta/monsta/shop-right-sidebar.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/shop-right-sidebar.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:08	142659/142659	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f52e-22d43%22	https://htmldemo.net/monsta/monsta/shop-right-sidebar-list.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/shop-right-sidebar-list.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:08	148850/148850	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f52f-24572%22	https://htmldemo.net/monsta/monsta/shop-list.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/shop-list.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:08	40659/40659	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f529-9ed3%22	https://htmldemo.net/monsta/monsta/portfolio.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/portfolio.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:08	58026/58026	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f529-e2aa%22	https://htmldemo.net/monsta/monsta/portfolio-details.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/portfolio-details.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:09	41450/41450	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f524-a1ea%22	https://htmldemo.net/monsta/monsta/cart.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/cart.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:09	52916/52916	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f524-ceb4%22	https://htmldemo.net/monsta/monsta/checkout.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/checkout.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:09	45730/45730	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f529-b2a2%22	https://htmldemo.net/monsta/monsta/my-account.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/my-account.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:10	98356/98356	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f52a-18034%22	https://htmldemo.net/monsta/monsta/product-details.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/product-details.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:10	174086/174086	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f52b-2a806%22	https://htmldemo.net/monsta/monsta/product-sidebar.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/product-sidebar.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:10	101712/101712	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f52a-18d50%22	https://htmldemo.net/monsta/monsta/product-grouped.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/product-grouped.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:10	144757/144757	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f52d-23575%22	https://htmldemo.net/monsta/monsta/variable-product.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/variable-product.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:10	56830/56830	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f525-ddfe%22	https://htmldemo.net/monsta/monsta/blog.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/blog.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:11	57914/57914	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f522-e23a%22	https://htmldemo.net/monsta/monsta/blog-details.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/blog-details.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
18:59:11	55211/55211	---MCZ	200	added ('OK')	text/html	etag:W/%2261e7f522-d7ab%22	https://htmldemo.net/monsta/monsta/blog-fullwidth.html	C:/Users/Renato/Downloads/joyeriatemplate/htmldemo.net/monsta/monsta/blog-fullwidth.html	(from https://htmldemo.net/monsta/monsta/index-2.html)
